substance_id	substance_name	num_of_patient_ts	num_of_drug
500	Digitoxin	1	1
503	Diltiazem Hydrochloride	1	10
505	Dimethyl Fumarate	1	41
509	Diosmectite	1	1
511	Diosmin, Micronized	1	5
512	Diphenhydramine Hydrochloride	1	4
515	Diphenhydramine Hydrochloride, Paracetamol	1	1
527	Doxycycline Hyclate	1	1
533	Dry Extract From Agnus Castus Fruit Equivalent To 23.4-31.2 Mg Of Fruit, Extraction Solvent: Ethanol 75% (V/V)	1	4
542	Dry Extract From Sisymbrium Officinale Herb (6-8:1), Extraction Solvent: Water	1	1
554	Duloxetine	1	1
563	Entacapone	1	1
578	Eprosartan, Hydrochlorothiazide	1	1
592	Estradiol Valerate	1	1
595	Ethanol (96 Per Cent), Isopropyl Alcohol, Povidone, Iodinated	1	1
610	Etodolac	1	1
620	Extractum Siccum Compositum (4- 9 : 1) Ex Baptisiae Tinctoriae L. Radix 4,92 P., Echinaceae Purpureae (L.) Moench Radix 1,85 P., Echinaceae Pallidae Nutt. Radix 1,85 P., Thujae Occidentalis L. Herba 1 P., Ethanol 30 % (V/V)	1	1
621	Ezetimibe	1	2
623	Factor Viii Inhibitor Bypassing Fraction	1	4
631	Fenofibrate Micronised	1	2
644	Ferrous Sulfate, Dried Ph. Eur.	1	1
658	Fluconazole	1	9
661	Flumetasone Pivalate, Clioquinol	1	1
662	Flumetasone Pivalate, Salicylic Acid	1	1
666	Fluoride	1	1
686	Folic Acid, Ferric Hydroxide Polymaltose Complex	1	1
713	Glycerin Bp	1	1
714	Glycerol	1	3
718	Glycine, Magnesium Chloride Hexahydrate, Potassium Chloride, Calcium Chloride Dihydrate, L-Lysine Acetate, Glucose Monohydrate, Sodium Acetate Trihydrate, L-Tryptophan, L-Arginine, L-Histidine, L-Isoleucine, L-Leucine, L-Methionine, L-Proline, L-Serine, L-Threonine, L-Tyrosine, L-Valine, L-Aspartic Acid, L-Phenylalanine, Refined Olive Oil And Refined Soya Oil, L-Glutamic Acid, L-Alanine, Sodium Glycerophosphate Hydrate	1	2
735	Human Albumin As Macroaggregates	1	1
737	Human Coagulation Factor Ix, Protein C, Human Coagulation Factor Vii, Protein S, Human Coagulation Factor Ii, Human Coagulation Factor X	1	2
742	Human Plasma Protein	1	5
746	Hyaluronidase	1	2
763	Hydrocortisone, Urea	1	1
767	Hydroxycarbamide	1	8
780	Ibuprofen Arginine	1	1
804	Iron Protein Succinylate	1	1
807	Isoprenaline Hydrochloride	1	1
808	Isopropyl Alcohol	1	2
812	Isotretinoin	1	4
813	Ispaghula Husk	1	1
818	Kalium Iodatum D12, Stibium Sulfuratum Aurantiacum D12, Polygala Senega D8	1	1
834	Lactulose, Vaseline, Liquid Paraffin	1	1
837	Laronidase	1	1
840	Lauromacrogol 400	1	1
849	Lercanidipine	1	2
855	Levisticum Officinale Rh Dil. D3, Levisticum Officinale Rh Dil. D6	1	1
856	Levobupivacaine	1	4
861	Levocetirizine	1	1
862	Levocetirizine Dihydrochloride	1	20
873	Levonorgestrel	1	10
876	Levosulpiride	1	2
891	Linvoseltamab	1	1
895	Liquid Extract From Thyme Herb (Der 1:2-2,5), Extraction Solvents: Ammonia Solution 10 % (M/M), Glycerol 85%, Ethanol 90%, Water (1:20:70:109)	1	1
955	Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate, Sodium (S)-Lactate Solution	1	1
956	Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose, Sodium Lactate	1	1
960	Magnesium Hydroxide, Aluminium Hydroxide	1	4
968	Magnesium Phosphoricum Acidum Dil. D6	1	1
973	Malathion	1	1
975	Manganum Sulfuricum Trit. D6	1	1
980	Maribavir	1	2
983	Matricariae Flos, Melissa Leaf, Centaurii Herba, Calamus Rhizome, Millefolii Herba	1	1
986	Mebeverine Hydrochloride	1	5
992	Mefenamic Acid	1	2
1007	Memantine Hydrochloride	1	41
1048	Metoprolol Succinate (Ph. Eur.)	1	1
1059	Midazolam	1	21
1072	Mitotane	1	1
1075	Mometasone Furoate, Indacaterol	1	1
1077	Montelukast Sodium	1	1
1082	Myrtecaine, Diethylamine Salicylate	1	1
1084	Nabumetone	1	1
1085	Naloxone Hydrochloride, Oxycodone Hydrochloride	1	1
1087	Naphazoline Nitrate, Ephedrine Hydrochloride	1	1
1088	Naphazoline Nitrate, Prednisolone	1	1
1091	Natrium Phosphoricum Trit. D6	1	1
1104	Nimesulide	1	1
1108	Nitric Oxide	1	1
1112	Norepinephrine, Lidocaine Hydrochloride	1	1
1113	Norethisterone Acetate, Estradiol	1	6
1116	Octenidine Dihydrochloride, Phenoxyethanol	1	1
1121	Olsalazine Sodium	1	4
1125	Omeprazole Magnesium	1	3
1130	Oxybuprocaine Hydrochloride Ph. Eur.	1	1
1132	Oxygen	1	12
1136	Palonosetron	1	2
1140	Pantoprazole Sodium Sesquihydrate	1	1
1155	Perindopril Arginine	1	1
1156	Permethrin	1	1
1157	Peru Balsam	1	1
1162	Phenobarbital, Anhydrous Caffeine	1	1
1171	Phenylephrine Hydrochloride, Ibuprofen	1	1
1173	Phenylephrine Hydrochloride, Paracetamol	1	9
1178	Phytolacca Americana Dil. D4, Echinacea Purpurea D6, Lachesis D6	1	1
1183	Piroxicam	1	1
1201	Pramipexole Dihydrochloride Monohydrate	1	3
1206	Prednisolone	1	3
1216	Promethazine Hydrochloride	1	3
1223	Pseudoephedrine Hydrochloride, Ibuprofen	1	2
1225	Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride	1	2
1232	Racementhol, Eucalyptus Oil, Methyl Salicylate, Turpentine Oil	1	2
1245	Rhamnus Frangula L. Cortex, Cassia Senna L. Folium, Linum Usitatissimum L. Semen	1	1
1249	Riociguat	1	1
1254	Rivaroxaban	1	1
1257	Romosozumab	1	3
1259	Ropinirole	1	1
1261	Rosuvastatin Calcium	1	1
1263	Roxithromycin	1	1
1295	Sodium Hyaluronate, Carbomer 981	1	1
1296	Sodium Hydrogen Carbonate	1	6
1299	Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate	1	1
1305	Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Chromium Chloride Hexahydrate, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate, Sodium Selenite Anhydrous	1	3
1316	Sterilised Water For Injections	1	1
1318	Strychnos Ignatii Dil. D 6, Agnus Castus ├α, Caulophyllum Thalictroides Dil D4, Cyclamen Purpurascens Dil. D4, Lilium Lancifolium Dil. D3, Iris Versicolor Dil. D2	1	1
1323	Sultamicillin Tosylate Dihydrate	1	1
1326	Tacrolimus	1	6
1343	Teriparatide	1	8
1349	Testosterone Undecanoate	1	5
1354	Tetrofosmin	1	1
1360	Thiamine Hydrochloride	1	6
1377	Tiaprofenic Acid	1	1
1383	Timolol Maleate, Brinzolamide	1	1
1387	Timolol, Brimonidine Tartrate	1	1
1402	Triamcinolone Acetonide	1	1
1408	Triptorelin	1	7
1416	Umeclidinium Bromide, Vilanterol	1	1
1418	Urea	1	1
1420	Valerian Dry Hydroalcoholic Extract (Der 3-6:1), Extraction Solvent: Ethanol 60% (V/V), Passion Flower Dry Extract (Der 4-7:1), Extraction Solvent: Ethanol 60% (V/V), Hawthorn Leaf And Flower Dry Extract (Der 4-7:1), Extraction Solvent: Water, Black Horehound Dry Extract (Der 4-6:1), Extraction Solvent: Water	1	1
1422	Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Aspartic Acid, Glutamic Acid, Glycine, Soya-Bean Oil Refined, Triglycerides, Medium Chain, Tryptophan, Glucose Monohydrate, Lysine Monohydrate	1	1
1426	Valproic Acid, Sodium Valproate	1	3
1429	Valsartan, Hydrochlorothiazide	1	1
1431	Varenicline	1	1
1433	Vecuronium Bromide	1	1
1442	Warfarin Sodium	1	5
1446	Xylometazoline Hydrochloride	1	3
1455	Zofenopril Calcium	1	1
1	13c-Urea	0	1
2	5-Aminolevulinic Acid	0	3
3	Abiraterone Acetate	0	6
4	Acalabrutinib	0	1
5	Acamprosate Calcium	0	4
6	Acebutolol Hydrochloride	0	2
7	Aceclofenac	0	6
8	Acemetacin	0	1
9	Acenocoumarol	0	1
10	Acetazolamide	0	6
12	Acetylcysteine	0	20
13	Acetylleucine	0	1
14	Acetylsalicylic Acid	0	20
15	Acetylsalicylic Acid, Rosuvastatin	0	1
16	Aciclovir	0	50
18	Acidum Formicicum Dil D12, Acidum Formicicum Dil. D30, Acidum Formicicum Dil. D200	0	1
19	Acidum L(+)-Lacticum Dil. D 6, Acidum L(+)-Lacticum Dil. D12, Acidum L(+)-Lacticum Dil. D30, Acidum L(+)-Lacticum Dil. D200	0	1
20	Acidum Malicum D200, Acidum Malicum D30, Acidum Malicum D10	0	1
21	Acidum Picrinicum Trit. D6, Strychninum Phosphoricum Trit. D4, Yohimbinum Hydrochloricum Trit. D4, Turnera Diffusa Trit. D2	0	1
23	Aconitum Napellus D4	0	1
24	Acrivastine	0	1
25	Adalimumab	0	1
26	Adapalene	0	4
27	Adapalene, Anhydrous Benzoyl Peroxide	0	1
28	Adapalene, Benzoyl Peroxide	0	4
29	Adapalene, Benzoyl Peroxide, Hydrous	0	3
30	Adenosine	0	9
31	Aesculus Hippocastanum E Semine Ferm 34c Dil. D49 (Hab, Vs. 34c), Arnica Montana E Planta Tota Ferm 33c Dil. D19 (Hab, Vs. 33c), Disci Intervertebrales Cervicales, Thoracici Et Lumbales Bovis Gl Dil. D7 (Hab, Vs. 41b), Formica Rufa Ex Animale Toto Gl Dil. D6 (Hab, Vs. 41c), Phyllostachys E Nodo Ferm 35c Dil. D5 (Hab, Vs. 35c)	0	1
32	Aesculus Hippocastanum E Semine La 25% Sicc. (Hab, Vs. 12m), Borago Officinalis Ex Herba La 20% (Hab, Vs. 12c), Prunus Spinosa E Fructibus La 25% (Hab, Vs. 12o), Quercus Robur/Petraea E Cortice, Decoctum La 10% (Hab, Vs. 12k), Solidago Virgaurea Ex Herba La 20% (Hab, Vs. 12c)	0	1
34	Agomelatine	0	10
35	Agropyron Repens E Radice Ferm 33c Dil. D3 (Hab, Vs. 33c), Kalium Carbonicum E Cinere Fagi Silvaticae Dil. D9 Aquos. (Hab, Vs. 5b), Taraxacum Officinale E Planta Tota Ferm 34c Dil. D4 (Hab, Vs. 34c), Zinnober Dil. D6	0	1
36	Air, Medicinal	0	3
37	Alanyl Glutamine	0	3
38	Alemtuzumab	0	1
39	Alendronate Sodium Monohydrate	0	5
40	Alendronate Sodium Trihydrate	0	15
41	Alendronate Sodium Trihydrate, Cholecalciferol Concentrate (Powder Form)	0	1
42	Alendronic Acid	0	9
43	Alendronic Acid, Colecalciferol	0	9
44	Alfacalcidol	0	5
46	Alfentanil Hydrochloride	0	2
47	Alfuzosin	0	1
48	Alfuzosin Hydrochloride	0	7
49	Algeldrate, Aluminium Diacetate Hydroxide	0	1
50	Alimemazine Tartrate	0	2
52	Allantoin	0	1
53	Allantoin, Lidocaine Hydrochloride	0	1
54	Allopurinol	0	5
56	Alpha Amylase	0	1
57	Alpha-Lipoic Acid, Meglumine Salt	0	1
58	Alteplase	0	6
59	Aluminium Acetotartrate	0	1
60	Aluminium Chloride Hexahydrate	0	1
61	Aluminium Hydroxide, Birch Pollen Allergoid, Chemically Modified, Rye Pollen Allergoid, Chemically Modified, Orchard Grass Pollen Allergoid, Chemically Modified, Meadow Fescue Pollen Allergoid, Chemically Modified, Kentucky Blue Grass Pollen Allergoid, Chemically Modified, Velvet Grass Pollen Allergoid, Chemically Modified, Rye Grass Pollen Allergoid, Chemically Modified, Plantain Pollen Allergoid, Chemically Modified, Timothy Grass Pollen Allergoid, Chemically Modified	0	1
62	Aluminium Hydroxide, Birch Pollen Allergoid, Chemically Modified, Rye Pollen Allergoid, Chemically Modified, Orchard Grass Pollen Allergoid, Chemically Modified, Meadow Fescue Pollen Allergoid, Chemically Modified, Kentucky Blue Grass Pollen Allergoid, Chemically Modified, Velvet Grass Pollen Allergoid, Chemically Modified, Rye Grass Pollen Allergoid, Chemically Modified, Timothy Grass Pollen Allergoid, Chemically Modified	0	1
63	Aluminium Hydroxide, Orchard Grass Pollen Allergoid, Chemically Modified, Meadow Fescue Pollen Allergoid, Chemically Modified, Kentucky Blue Grass Pollen Allergoid, Chemically Modified, Velvet Grass Pollen Allergoid, Chemically Modified, Rye Grass Pollen Allergoid, Chemically Modified, Timothy Grass Pollen Allergoid, Chemically Modified	0	1
64	Aluminium Oxide, Hydrated, Magnesium Hydroxide	0	2
65	Aluminium Phosphate, Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Tetanus Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Pertactin Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Algeldrate	0	4
66	Aluminium Phosphate, Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Tetanus Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Pertactin Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Poliovirus (Inactivated) Type 1 (Mahoney Strain) Produced On Vero Cells, Poliovirus (Inactivated) Type 2 (Mef-1 Strain) Produced On Vero Cells, Poliovirus (Inactivated) Type 3 (Saukett Strain) Produced On Vero Cells, Algeldrate	0	2
67	Aluminium Phosphate, Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Tetanus Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Pertactin Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Poliovirus (Inactivated) Type 1 (Mahoney Strain), Algeldrate	0	2
68	Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Algeldrate	0	2
69	Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Pertussis Fimbrial Agglutinogens (Fim) 2 And 3	0	1
70	Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Pertussis Fimbrial Agglutinogens (Fim) 2 And 3, Poliovirus (Inactivated) Type 1 (Mahoney Strain)	0	1
71	Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Poliovirus (Inactivated) Type 1 (Mahoney Strain), Algeldrate	0	2
73	Ambazone Monohydrate	0	2
74	Ambroxol Hydrochloride	0	7
75	Amikacin Sulfate	0	2
76	Aminocaproic Acid	0	1
77	Amisulpride	0	4
78	Amitriptyline Hydrochloride	0	1
79	Amlodipine	0	1
81	Amlodipine, Hydrochlorothiazide, Candesartan Cilexetil	0	2
82	Amlodipine, Lisinopril	0	3
83	Amlodipine, Ramipril	0	1
84	Amlodipine, Telmisartan	0	1
85	Ammonium Chloride	0	1
87	Amorolfine Hydrochloride	0	1
88	Amoxicillin Trihydrate	0	1
89	Amoxicillin, Clavulanic Acid	0	7
90	Ampicillin	0	2
91	Amylase, Pancrelipase, Protease	0	1
92	Amylmetacresol, 2,4 Dichlorobenzyl Alcohol	0	6
95	Anhydrous Methyldopa	0	2
97	Anti-T Lymphocyte Immunoglobulin For Human Use, Rabbit	0	2
98	Apis Mellifera (801)	0	1
99	Apis Mellifica Dil. D4, Sepia Officinalis Dil. D 8, Hepar Sulfuris Dil. D8, Sulfur Dil. D6, Graphites Dil. D8, Acidum Silicicum Dil. D8, Crotalus Durissus Terrificus E Veneno Siccato D10	0	1
100	Apixaban	0	1
101	Apomorphine Hydrochloride Hemihydrate	0	1
102	Aqueous Extract Of Gentian Root (0.2165 G), Ginger (0.133 G), Acorus Calamus Root (0.02 G), Pepper (0.004 G) And Wormwood (0,1665 G)	0	1
103	Arctostaphylos Uva-Ursi Leaf	0	1
104	Argentum Colloidale Dil. D4, Calendula Officinalis Ex Herba Ferm 33c ├α (Hab, Vs. 33c), Echinacea Pallida E Planta Tota Ferm 33c ├α (Hab, Vs. 33c), Kreosotum Dil. D4, Lilium Lancifolium Ex Herba Ferm 33c Dil. D1 (Hab, Vs. 33c), Thuja Occidentalis E Summitatibus Ferm 33e Dil. D1 (Hab, Vs. 33e), Origanum Majorana Ex Herba Ferm 33c ├α (Hab, Vs. 33c), Salvia Officinalis Aetheroleum, Eucalyptus Oil, Lactic Acid, Rosemary Oil, Thymus Essential Oil	0	1
105	Aripiprazole	0	1
106	Artemether, Lumefantrine	0	1
107	Articaine Hydrochloride, Epinephrine Bitartrate	0	2
108	Arundo Donax D2, Histamine D6, Arsenum Iodatum D6, Sabadilla D6, Allium Cepa D6, Euphrasia Officinalis D2	0	1
109	Ascorbic Acid, Acetylsalicylic Acid	0	1
110	Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Thiamine, Glycine, Succinic Acid, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, Selenium, Retinol, Alpha-Tocopherol, Boron	0	1
112	Ascorbic Acid, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Thiamine, Pantothenic Acid, Pyridoxine Hydrochloride, Retinol, Alpha-Tocopherol, Riboflavin Sodium Phosphate Dihydrate, D-Biotin	0	1
113	Ascorbic Acid, Dried Ferrous Sulfate	0	1
114	Ash Leaf, Rosemary, Fucus (Thallus Titration Between 0.03 % And 0.055 % In Iodine)	0	1
115	Aspergillus Fumigatus (405)	0	1
116	Aspidium (Dryopteris) Filix-Mas Folium Rec. Ethanol. Digest. D1, Polypodium Vulgare Folium Rec. Ethanol. Digest. D1, Scolopendrium (Phyllitis) Folium Rec. Ethanol. Digest. D1, Salix Alba Folium Rec. Ethanol. Digest. D1, Salix Viminalis Folium Rec. Ethanol. Digest. D1, Salix Vitellina Folium Rec. Ethanol. Digest. D1	0	1
117	Aspidium Filix-Mas, Spora Dil. D3, Argentum Metallicum Praeparatum Dil. D6, Conchae Dil. D7, Amanita Muscaria Dil. D8, Phosphorus Dil. D6	0	1
118	Atazanavir, Cobicistat	0	2
119	Atidarsagene Autotemcel	0	1
122	Atracurium Besilate	0	3
123	Atropa Belladonna E Radice Ferm 33b Dil. D3 (Hab, Vs. 33b), Pulsatilla Vulgaris E Floribus Ferm 33c Dil. D5 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D2, Apis Mellifica Ex Animale Toto Gl Dil. D4 (Hab, Vs. 41c)	0	1
124	Atropinum Sulfuricum D5, Hydrargyrum Bicyanatum D8, Aconitinum D5	0	2
125	Avelumab	0	1
126	Avena Sativa 2b ├α, Coffea Tosta, Ethanol. Decoctum Dil. D60, Valeriana, Ethanol. Decoctum ├α, Passiflora Incarnata Mother Tincture, Humulus Lupulus ├α	0	1
127	Axitinib	0	1
128	Azacitidine	0	4
130	Azelastine Hydrochloride, Fluticasone Propionate	0	2
131	Azidamfenicol	0	2
132	Azithromycin	0	1
134	Bacillus Cereus E Volumine Cellulae (Lyophil., Steril.) D6	0	1
135	Bacitracin, Hydrocortisone Acetate, Neomycin Sulfate	0	1
137	Baclofen	0	5
138	Bacterial Lysate	0	1
139	Balsalazide Disodium	0	1
140	Barium Citricum Trit. D3, Berberis, Ethanol. Decoctum Trit. D3, Conchae Trit. D10, Zinnober Trit. D6	0	1
142	Bcg (Bacillus Calmette-Gu├σrin) Bacteria	0	1
143	Bcg (Bacillus Calmette-Gu├σrin), Live Attenuated, Strain Rivm (Strain 1173-P2 Derived)	0	8
144	Beclometasone Dipropionate	0	16
145	Beclometasone Dipropionate Anhydrous	0	1
146	Beclometasone Dipropionate, Clioquinol	0	1
147	Beclometasone Dipropionate, Formoterol Fumarate Dihydrate	0	17
148	Bellis Perennis D2, Ferrum Metallicum D8, Phosphorus D8, Sanguinaria Canadensis D7	0	1
149	Bendamustine Hydrochloride	0	25
150	Bendamustine Hydrochloride Monohydrate	0	2
151	Bendroflumethiazide	0	1
152	Bendroflumethiazide, Potassium Chloride	0	1
153	Benfotiamine	0	2
155	Benperidol	0	1
156	Benralizumab	0	1
157	Benserazide Hydrochloride, Levodopa	0	6
158	Benserazide, Levodopa	0	2
159	Benzalkonium Chloride	0	1
160	Benzalkonium Chloride Solution, Chlorhexidine Digluconate Solution	0	1
162	Benzalkonium Chloride, Hydrocortisone Hydrogen Succinate	0	1
163	Benzalkonium Chloride, Isopropyl Myristate, Liquid Paraffin	0	1
164	Benzathine Benzylpenicillin	0	2
165	Benzocaine	0	2
166	Benzocaine, Cetylpyridinium Chloride	0	1
167	Benzododecinium Bromide 10% Solution	0	1
168	Benzoin Tincture, Capsicum Tincture Bpc, Cetylpyridinium Chloride Bp	0	1
169	Benzoyl Peroxide	0	7
170	Benzydamine Hydrochloride	0	6
171	Benzyl Benzoate	0	2
172	Benzylpenicillin	0	1
173	Benzylpenicillin Sodium	0	6
174	Bermuda Grass Pollen	0	1
175	Betahistine	0	1
176	Betahistine Dihydrochloride	0	30
177	Betahistine Hydrochloride	0	3
178	Betahistine Mesilate	0	2
179	Betaine Citrate	0	1
180	Betamethasone	0	9
182	Betamethasone Dipropionate, Betamethasone Sodium Phosphate	0	3
183	Betamethasone Dipropionate, Gentamicin	0	2
