dept_name	shift_id	subclass	                                                       required_staff
Emergency Department	449	Nurse with rank: Supervisor_Nurse	2
ICU (Intensive Care Unit)	450	Administrative staff with role: Human Resources Manager	1
ICU (Intensive Care Unit)	450	Administrative staff with role: Secretary	1
ICU (Intensive Care Unit)	450	Doctor with specialty: Cardiology	1
ICU (Intensive Care Unit)	450	Doctor with specialty: Internal Medicine	1
ICU (Intensive Care Unit)	450	Doctor with specialty: Pulmonology	1
ICU (Intensive Care Unit)	450	Nurse with rank: Assistant_Nurse	2
ICU (Intensive Care Unit)	450	Nurse with rank: Senior_Nurse	2
ICU (Intensive Care Unit)	450	Nurse with rank: Supervisor_Nurse	2
ICU (Intensive Care Unit)	451	Administrative staff with role: Accountant	2
ICU (Intensive Care Unit)	451	Doctor with specialty: Nephrology	1
ICU (Intensive Care Unit)	451	Doctor with specialty: Rheumatology	1
ICU (Intensive Care Unit)	451	Nurse with rank: Assistant_Nurse	2
ICU (Intensive Care Unit)	451	Nurse with rank: Senior_Nurse	2
ICU (Intensive Care Unit)	451	Nurse with rank: Supervisor_Nurse	2
ICU (Intensive Care Unit)	452	Administrative staff with role: Network and Computer Administrator (Hardware)	1
ICU (Intensive Care Unit)	452	Administrative staff with role: Secretary	1
ICU (Intensive Care Unit)	452	Doctor with specialty: Internal Medicine	1
ICU (Intensive Care Unit)	452	Doctor with specialty: Nephrology	1
ICU (Intensive Care Unit)	452	Doctor with specialty: Rheumatology	1
ICU (Intensive Care Unit)	452	Nurse with rank: Assistant_Nurse	1
ICU (Intensive Care Unit)	452	Nurse with rank: Senior_Nurse	2
ICU (Intensive Care Unit)	452	Nurse with rank: Supervisor_Nurse	3
Orthopedics	453	Administrative staff with role: Accountant	1
Orthopedics	453	Administrative staff with role: Procurement Officer	1
Orthopedics	453	Doctor with specialty: Orthopedics	1
Orthopedics	453	Doctor with specialty: Rheumatology	2
Orthopedics	453	Nurse with rank: Assistant_Nurse	2
Orthopedics	453	Nurse with rank: Senior_Nurse	1
Orthopedics	453	Nurse with rank: Supervisor_Nurse	3
Orthopedics	454	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Orthopedics	454	Administrative staff with role: Secretary	1
Orthopedics	454	Doctor with specialty: Orthopedics	1
Orthopedics	454	Doctor with specialty: Rheumatology	2
Orthopedics	454	Nurse with rank: Assistant_Nurse	1
Orthopedics	454	Nurse with rank: Senior_Nurse	1
Orthopedics	454	Nurse with rank: Supervisor_Nurse	4
Orthopedics	455	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Orthopedics	455	Administrative staff with role: Procurement Officer	1
Orthopedics	455	Doctor with specialty: Physical Medicine & Rehabilitation	2
Orthopedics	455	Doctor with specialty: Rheumatology	1
Orthopedics	455	Nurse with rank: Assistant_Nurse	1
Orthopedics	455	Nurse with rank: Senior_Nurse	1
Orthopedics	455	Nurse with rank: Supervisor_Nurse	4
OB/GYN	456	Administrative staff with role: Network and Computer Administrator (Hardware)	2
OB/GYN	456	Doctor with specialty: Obstetrics & Gynecology - OB/GYN	3
OB/GYN	456	Nurse with rank: Assistant_Nurse	2
OB/GYN	456	Nurse with rank: Senior_Nurse	2
OB/GYN	456	Nurse with rank: Supervisor_Nurse	2
OB/GYN	457	Administrative staff with role: Network and Computer Administrator (Hardware)	1
OB/GYN	457	Administrative staff with role: Secretary	1
OB/GYN	457	Doctor with specialty: Obstetrics & Gynecology - OB/GYN	3
OB/GYN	457	Nurse with rank: Assistant_Nurse	1
OB/GYN	457	Nurse with rank: Senior_Nurse	3
OB/GYN	457	Nurse with rank: Supervisor_Nurse	2
OB/GYN	458	Administrative staff with role: Accountant	1
OB/GYN	458	Administrative staff with role: Procurement Officer	1
OB/GYN	458	Doctor with specialty: Obstetrics & Gynecology - OB/GYN	3
OB/GYN	458	Nurse with rank: Assistant_Nurse	1
OB/GYN	458	Nurse with rank: Senior_Nurse	2
OB/GYN	458	Nurse with rank: Supervisor_Nurse	3
Anesthesiology	459	Administrative staff with role: Software Applications Administrator (Software)	2
Anesthesiology	459	Doctor with specialty: Anesthesiology	2
Anesthesiology	459	Doctor with specialty: Ophthalmology	1
Anesthesiology	459	Nurse with rank: Assistant_Nurse	2
Anesthesiology	459	Nurse with rank: Supervisor_Nurse	4
Anesthesiology	460	Administrative staff with role: Accountant	1
Anesthesiology	460	Administrative staff with role: Secretary	1
Anesthesiology	460	Doctor with specialty: Anesthesiology	2
Anesthesiology	460	Doctor with specialty: Ophthalmology	1
Anesthesiology	460	Nurse with rank: Assistant_Nurse	1
Anesthesiology	460	Nurse with rank: Senior_Nurse	4
Anesthesiology	460	Nurse with rank: Supervisor_Nurse	1
Anesthesiology	461	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Anesthesiology	461	Administrative staff with role: Procurement Officer	1
Anesthesiology	461	Doctor with specialty: Anesthesiology	2
Anesthesiology	461	Doctor with specialty: Ophthalmology	1
Anesthesiology	461	Nurse with rank: Assistant_Nurse	2
Anesthesiology	461	Nurse with rank: Senior_Nurse	4
Psychiatry	462	Administrative staff with role: Human Resources Manager	1
Psychiatry	462	Administrative staff with role: Secretary	1
Psychiatry	462	Doctor with specialty: Psychiatry	3
Psychiatry	462	Nurse with rank: Assistant_Nurse	1
Psychiatry	462	Nurse with rank: Senior_Nurse	1
Psychiatry	462	Nurse with rank: Supervisor_Nurse	4
Psychiatry	463	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Psychiatry	463	Administrative staff with role: Software Applications Administrator (Software)	1
Psychiatry	463	Doctor with specialty: Psychiatry	3
Psychiatry	463	Nurse with rank: Assistant_Nurse	2
Psychiatry	463	Nurse with rank: Senior_Nurse	4
Psychiatry	464	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Psychiatry	464	Administrative staff with role: Software Applications Administrator (Software)	1
Psychiatry	464	Doctor with specialty: Cardiac Surgery	1
Psychiatry	464	Doctor with specialty: Psychiatry	2
Psychiatry	464	Nurse with rank: Assistant_Nurse	2
Psychiatry	464	Nurse with rank: Senior_Nurse	2
Psychiatry	464	Nurse with rank: Supervisor_Nurse	2
Pulmonology	465	Administrative staff with role: Software Applications Administrator (Software)	2
Pulmonology	465	Doctor with specialty: Oncology	2
Pulmonology	465	Nurse with rank: Assistant_Nurse	3
Pulmonology	465	Nurse with rank: Senior_Nurse	1
Pulmonology	465	Nurse with rank: Supervisor_Nurse	2
Pulmonology	466	Administrative staff with role: Software Applications Administrator (Software)	2
Pulmonology	466	Doctor with specialty: Oncology	1
Pulmonology	466	Doctor with specialty: Pathology	1
Pulmonology	466	Doctor with specialty: Pulmonology	1
Pulmonology	466	Nurse with rank: Assistant_Nurse	1
Pulmonology	466	Nurse with rank: Senior_Nurse	1
Pulmonology	466	Nurse with rank: Supervisor_Nurse	4
Pulmonology	467	Administrative staff with role: Human Resources Manager	2
Pulmonology	467	Doctor with specialty: Oncology	1
Pulmonology	467	Doctor with specialty: Pathology	1
Pulmonology	467	Doctor with specialty: Pulmonology	1
Pulmonology	467	Nurse with rank: Assistant_Nurse	1
Pulmonology	467	Nurse with rank: Senior_Nurse	2
Pulmonology	467	Nurse with rank: Supervisor_Nurse	3
Biopathology	468	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Biopathology	468	Administrative staff with role: Procurement Officer	1
Biopathology	468	Doctor with specialty: Microbiology	2
Biopathology	468	Doctor with specialty: Radiology	1
Biopathology	468	Nurse with rank: Assistant_Nurse	2
Biopathology	468	Nurse with rank: Senior_Nurse	1
Biopathology	468	Nurse with rank: Supervisor_Nurse	3
Biopathology	469	Administrative staff with role: Human Resources Manager	1
Biopathology	469	Administrative staff with role: Procurement Officer	1
Biopathology	469	Doctor with specialty: Biopathology	1
Biopathology	469	Doctor with specialty: Neurosurgery	1
Biopathology	469	Doctor with specialty: Radiology	1
Biopathology	469	Nurse with rank: Assistant_Nurse	1
Biopathology	469	Nurse with rank: Senior_Nurse	2
Biopathology	469	Nurse with rank: Supervisor_Nurse	3
Biopathology	470	Administrative staff with role: Accountant	1
Biopathology	470	Administrative staff with role: Software Applications Administrator (Software)	1
Biopathology	470	Doctor with specialty: Biopathology	3
Biopathology	470	Nurse with rank: Assistant_Nurse	2
Biopathology	470	Nurse with rank: Senior_Nurse	3
Biopathology	470	Nurse with rank: Supervisor_Nurse	1
Endocrinology	471	Administrative staff with role: Human Resources Manager	2
Endocrinology	471	Doctor with specialty: Endocrinology	1
Endocrinology	471	Nurse with rank: Assistant_Nurse	4
Endocrinology	471	Nurse with rank: Senior_Nurse	1
Endocrinology	471	Nurse with rank: Supervisor_Nurse	1
Endocrinology	472	Administrative staff with role: Network and Computer Administrator (Hardware)	2
Endocrinology	472	Doctor with specialty: Endocrinology	1
Endocrinology	472	Doctor with specialty: Gastroenterology	1
Endocrinology	472	Doctor with specialty: Internal Medicine	1
Endocrinology	472	Nurse with rank: Assistant_Nurse	3
Endocrinology	472	Nurse with rank: Senior_Nurse	1
Endocrinology	472	Nurse with rank: Supervisor_Nurse	2
Endocrinology	473	Administrative staff with role: Network and Computer Administrator (Hardware)	2
Endocrinology	473	Doctor with specialty: Endocrinology	1
Endocrinology	473	Doctor with specialty: Gastroenterology	1
Endocrinology	473	Doctor with specialty: Internal Medicine	1
Endocrinology	473	Nurse with rank: Assistant_Nurse	3
Endocrinology	473	Nurse with rank: Senior_Nurse	2
Endocrinology	473	Nurse with rank: Supervisor_Nurse	1
Internal Medicine	474	Administrative staff with role: Human Resources Manager	1
Internal Medicine	474	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Internal Medicine	474	Doctor with specialty: Dermatology	1
Internal Medicine	474	Doctor with specialty: Gastroenterology	2
Internal Medicine	474	Nurse with rank: Assistant_Nurse	2
Internal Medicine	474	Nurse with rank: Senior_Nurse	2
Internal Medicine	474	Nurse with rank: Supervisor_Nurse	2
Internal Medicine	475	Administrative staff with role: Accountant	1
Internal Medicine	475	Administrative staff with role: Human Resources Manager	1
Internal Medicine	475	Doctor with specialty: Cardiac Surgery	1
Internal Medicine	475	Doctor with specialty: Oncology	1
Internal Medicine	475	Doctor with specialty: Rheumatology	1
Internal Medicine	475	Nurse with rank: Assistant_Nurse	1
Internal Medicine	475	Nurse with rank: Senior_Nurse	4
Internal Medicine	475	Nurse with rank: Supervisor_Nurse	1
Internal Medicine	476	Administrative staff with role: Accountant	2
Internal Medicine	476	Doctor with specialty: Endocrinology	1
Internal Medicine	476	Doctor with specialty: Gastroenterology	1
Internal Medicine	476	Doctor with specialty: Rheumatology	1
Internal Medicine	476	Nurse with rank: Assistant_Nurse	2
Internal Medicine	476	Nurse with rank: Senior_Nurse	2
Internal Medicine	476	Nurse with rank: Supervisor_Nurse	2
Pediatrics	477	Administrative staff with role: Procurement Officer	2
Pediatrics	477	Doctor with specialty: Pediatrics	1
Pediatrics	477	Nurse with rank: Assistant_Nurse	2
Pediatrics	477	Nurse with rank: Senior_Nurse	3
Pediatrics	477	Nurse with rank: Supervisor_Nurse	1
Pediatrics	478	Administrative staff with role: Accountant	1
Pediatrics	478	Administrative staff with role: Procurement Officer	1
Pediatrics	478	Doctor with specialty: Pediatrics	3
Pediatrics	478	Nurse with rank: Assistant_Nurse	2
Pediatrics	478	Nurse with rank: Senior_Nurse	2
Pediatrics	478	Nurse with rank: Supervisor_Nurse	2
Pediatrics	479	Administrative staff with role: Accountant	1
Pediatrics	479	Administrative staff with role: Software Applications Administrator (Software)	1
Pediatrics	479	Doctor with specialty: Cardiac Surgery	1
Pediatrics	479	Doctor with specialty: Pediatrics	2
Pediatrics	479	Nurse with rank: Assistant_Nurse	1
Pediatrics	479	Nurse with rank: Senior_Nurse	3
Pediatrics	479	Nurse with rank: Supervisor_Nurse	2
Gastroenterology	480	Administrative staff with role: Human Resources Manager	1
Gastroenterology	480	Administrative staff with role: Software Applications Administrator (Software)	1
Gastroenterology	480	Doctor with specialty: General Surgery	2
Gastroenterology	480	Nurse with rank: Assistant_Nurse	3
Gastroenterology	480	Nurse with rank: Senior_Nurse	1
Gastroenterology	480	Nurse with rank: Supervisor_Nurse	2
Gastroenterology	481	Administrative staff with role: Accountant	1
Gastroenterology	481	Administrative staff with role: Secretary	1
Gastroenterology	481	Doctor with specialty: Gastroenterology	2
Gastroenterology	481	Doctor with specialty: General Surgery	1
Gastroenterology	481	Nurse with rank: Senior_Nurse	3
Gastroenterology	481	Nurse with rank: Supervisor_Nurse	3
Gastroenterology	482	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Gastroenterology	482	Administrative staff with role: Procurement Officer	1
Gastroenterology	482	Doctor with specialty: Gastroenterology	1
Gastroenterology	482	Doctor with specialty: General Surgery	1
Gastroenterology	482	Doctor with specialty: Radiology	1
Gastroenterology	482	Nurse with rank: Senior_Nurse	3
Gastroenterology	482	Nurse with rank: Supervisor_Nurse	3
Cardiology	483	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Cardiology	483	Administrative staff with role: Software Applications Administrator (Software)	1
Cardiology	483	Doctor with specialty: Cardiac Surgery	2
Cardiology	483	Nurse with rank: Assistant_Nurse	1
Cardiology	483	Nurse with rank: Senior_Nurse	2
Cardiology	483	Nurse with rank: Supervisor_Nurse	3
Cardiology	484	Administrative staff with role: Procurement Officer	1
Cardiology	484	Administrative staff with role: Secretary	1
Cardiology	484	Doctor with specialty: Cardiac Surgery	2
Cardiology	484	Doctor with specialty: Internal Medicine	1
Cardiology	484	Nurse with rank: Assistant_Nurse	1
Cardiology	484	Nurse with rank: Senior_Nurse	1
Cardiology	484	Nurse with rank: Supervisor_Nurse	4
Cardiology	485	Administrative staff with role: Human Resources Manager	1
Cardiology	485	Administrative staff with role: Secretary	1
Cardiology	485	Doctor with specialty: Cardiology	2
Cardiology	485	Doctor with specialty: Internal Medicine	1
Cardiology	485	Nurse with rank: Assistant_Nurse	1
Cardiology	485	Nurse with rank: Senior_Nurse	3
Cardiology	485	Nurse with rank: Supervisor_Nurse	2
Surgical Department	486	Administrative staff with role: Network and Computer Administrator (Hardware)	2
Surgical Department	486	Doctor with specialty: Ophthalmology	1
Surgical Department	486	Doctor with specialty: Otorhinolaryngology - ENT	1
Surgical Department	486	Doctor with specialty: Urology	1
Surgical Department	486	Nurse with rank: Assistant_Nurse	1
Surgical Department	486	Nurse with rank: Senior_Nurse	4
Surgical Department	486	Nurse with rank: Supervisor_Nurse	1
Surgical Department	487	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Surgical Department	487	Administrative staff with role: Secretary	1
Surgical Department	487	Doctor with specialty: Ophthalmology	1
Surgical Department	487	Doctor with specialty: Plastic Surgery	1
Surgical Department	487	Doctor with specialty: Vascular Surgery	1
Surgical Department	487	Nurse with rank: Assistant_Nurse	2
Surgical Department	487	Nurse with rank: Senior_Nurse	1
Surgical Department	487	Nurse with rank: Supervisor_Nurse	3
Surgical Department	488	Administrative staff with role: Procurement Officer	1
Surgical Department	488	Administrative staff with role: Secretary	1
Surgical Department	488	Doctor with specialty: Neurosurgery	1
Surgical Department	488	Doctor with specialty: Urology	2
Surgical Department	488	Nurse with rank: Assistant_Nurse	2
Surgical Department	488	Nurse with rank: Senior_Nurse	1
Surgical Department	488	Nurse with rank: Supervisor_Nurse	3
Neurology	489	Administrative staff with role: Human Resources Manager	1
Neurology	489	Administrative staff with role: Procurement Officer	1
Neurology	489	Doctor with specialty: Neurology	2
Neurology	489	Doctor with specialty: Physical Medicine & Rehabilitation	1
Neurology	489	Nurse with rank: Assistant_Nurse	3
Neurology	489	Nurse with rank: Senior_Nurse	2
Neurology	489	Nurse with rank: Supervisor_Nurse	1
Neurology	490	Administrative staff with role: Human Resources Manager	1
Neurology	490	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Neurology	490	Doctor with specialty: Neurology	1
Neurology	490	Doctor with specialty: Neurosurgery	1
Neurology	490	Doctor with specialty: Physical Medicine & Rehabilitation	1
Neurology	490	Nurse with rank: Assistant_Nurse	2
Neurology	490	Nurse with rank: Senior_Nurse	2
Neurology	490	Nurse with rank: Supervisor_Nurse	2
Neurology	491	Administrative staff with role: Secretary	1
Neurology	491	Administrative staff with role: Software Applications Administrator (Software)	1
Neurology	491	Doctor with specialty: Neurology	2
Neurology	491	Doctor with specialty: Neurosurgery	1
Neurology	491	Nurse with rank: Assistant_Nurse	2
Neurology	491	Nurse with rank: Senior_Nurse	3
