+---------------------------+------+----------+------------------+--------------------+--------------------+------------------------+------------------------+
| department                | year | KEN_code | total_basic_cost | total_extra_cost   | total_income       | insurance_provider     | total_hospitalizations |
| Gastroenterology          | 2022 | ?01?     |             3857 | 1285.6666259765625 | 5142.6666259765625 | Ambetter               |                      1 |
| Gastroenterology          | 2022 | ?01?     |             3857 |   857.111083984375 |  4714.111083984375 | WellCare               |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |                981 |               1308 | Centene Corporation    |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |                  0 |                327 | Humana                 |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |              163.5 |              490.5 | MetLife                |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |                327 |                654 | Molina Healthcare      |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |                981 |               1308 | Mutual of Omaha        |                      1 |
| Gastroenterology          | 2022 | ?46?     |              327 |             1471.5 |             1798.5 | UnitedHealth Group     |                      1 |
| Gastroenterology          | 2022 | ?20?     |             2514 |                  0 |               2514 | Mutual of Omaha        |                      1 |
| Gastroenterology          | 2022 | ?20?     |             2514 |                  0 |               2514 | Oscar Health           |                      1 |
| Gastroenterology          | 2022 | ?20?     |             2514 |  457.0909118652344 | 2971.0909118652344 | WellCare               |                      1 |
| Gastroenterology          | 2023 | ?01?     |             7714 |   857.111083984375 |  8571.111083984375 | Centene Corporation    |                      2 |
| Gastroenterology          | 2023 | ?01?     |             3857 |   1714.22216796875 |   5571.22216796875 | Health Net             |                      1 |
| Gastroenterology          | 2023 | ?01?     |             3857 |                  0 |               3857 | Highmark Health        |                      1 |
| Gastroenterology          | 2023 | ?46?     |              327 |              490.5 |              817.5 | Aetna                  |                      1 |
| Gastroenterology          | 2023 | ?46?     |              327 |               1962 |               2289 | Guardian Life          |                      1 |
| Gastroenterology          | 2023 | ?20?     |             2514 |                  0 |               2514 | Aetna                  |                      1 |
| Gastroenterology          | 2023 | ?20?     |             2514 |                  0 |               2514 | MetLife                |                      1 |
| Gastroenterology          | 2023 | ?20?     |             2514 |  228.5454559326172 |  2742.545455932617 | Mutual of Omaha        |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 |   1714.22216796875 |   5571.22216796875 | Aetna                  |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 | 1285.6666259765625 | 5142.6666259765625 | Blue Cross Blue Shield |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 |                  0 |               3857 | Highmark Health        |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 |                  0 |               3857 | MetLife                |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 |                  0 |               3857 | Priority Health        |                      1 |
| Gastroenterology          | 2024 | ?01?     |             3857 |                  0 |               3857 | WellCare               |                      1 |
| Gastroenterology          | 2024 | ?46?     |              327 |                654 |                981 | Beacon Health Options  |                      1 |
| Gastroenterology          | 2024 | ?46?     |              327 |              817.5 |             1144.5 | Cigna                  |                      1 |
| Gastroenterology          | 2024 | ?46?     |              327 |             1144.5 |             1471.5 | Highmark Health        |                      1 |
| Gastroenterology          | 2024 | ?20?     |             2514 |  685.6363525390625 | 3199.6363525390625 | Blue Cross Blue Shield |                      1 |
| Gastroenterology          | 2024 | ?20?     |             5028 |                  0 |               5028 | Centene Corporation    |                      2 |
| Gastroenterology          | 2024 | ?20?     |             2514 |  228.5454559326172 |  2742.545455932617 | Cigna                  |                      1 |
| Gastroenterology          | 2024 | ?20?     |             2514 |                  0 |               2514 | Guardian Life          |                      1 |
| Gastroenterology          | 2024 | ?20?     |             2514 |                  0 |               2514 | Health Net             |                      1 |
| Gastroenterology          | 2025 | ?01?     |             3857 |                  0 |               3857 | Cigna                  |                      1 |
| Gastroenterology          | 2025 | ?01?     |             3857 |                  0 |               3857 | Guardian Life          |                      1 |
| Gastroenterology          | 2025 | ?01?     |             7714 |   857.111083984375 |  8571.111083984375 | Highmark Health        |                      2 |
| Gastroenterology          | 2025 | ?46?     |              327 |                  0 |                327 | Aetna                  |                      1 |
| Gastroenterology          | 2025 | ?46?     |              327 |              163.5 |              490.5 | Anthem                 |                      1 |
| Gastroenterology          | 2025 | ?46?     |              327 |              163.5 |              490.5 | Centene Corporation    |                      1 |
| Gastroenterology          | 2025 | ?46?     |              327 |                654 |                981 | Mutual of Omaha        |                      1 |
| Gastroenterology          | 2025 | ?20?     |             5028 |                  0 |               5028 | Guardian Life          |                      2 |
| Gastroenterology          | 2025 | ?20?     |             2514 |                  0 |               2514 | Kaiser Permanente      |                      1 |
| Gastroenterology          | 2025 | ?20?     |             2514 |                  0 |               2514 | Oscar Health           |                      1 |
| Gastroenterology          | 2025 | ?20?     |             2514 |                  0 |               2514 | Priority Health        |                      1 |
| Gastroenterology          | 2025 | ?20?     |             2514 |                  0 |               2514 | UnitedHealth Group     |                      1 |
| Gastroenterology          | 2026 | ?46?     |              327 |              490.5 |              817.5 | Aetna                  |                      1 |
| Gastroenterology          | 2026 | ?46?     |              327 |                981 |               1308 | Molina Healthcare      |                      1 |
| Gastroenterology          | 2026 | ?20?     |             2514 |                  0 |               2514 | Health Net             |                      1 |
| ICU (Intensive Care Unit) | 2021 | ?10?     |             1473 |                  0 |               1473 | Anthem                 |                      1 |
| ICU (Intensive Care Unit) | 2021 | ?10?     |             2946 | 210.42857360839844 | 3156.4285736083984 | MetLife                |                      2 |
| ICU (Intensive Care Unit) | 2021 | ?10?     |             1473 | 1262.5714111328125 | 2735.5714111328125 | Molina Healthcare      |                      1 |
| ICU (Intensive Care Unit) | 2021 | ?10?     |             1473 |                  0 |               1473 | UnitedHealth Group     |                      1 |
| ICU (Intensive Care Unit) | 2022 | ?10?     |             1473 | 210.42857360839844 | 1683.4285736083984 | Anthem                 |                      1 |
| ICU (Intensive Care Unit) | 2022 | ?10?     |             1473 |                  0 |               1473 | Beacon Health Options  |                      1 |
| ICU (Intensive Care Unit) | 2022 | ?10?     |             1473 |  1052.142822265625 |  2525.142822265625 | Centene Corporation    |                      1 |
| ICU (Intensive Care Unit) | 2022 | ?10?     |             1473 |                  0 |               1473 | Humana                 |                      1 |
| ICU (Intensive Care Unit) | 2022 | ?10?     |             1473 | 1262.5714111328125 | 2735.5714111328125 | Kaiser Permanente      |                      1 |
| ICU (Intensive Care Unit) | 2023 | ?10?     |             1473 | 1262.5714111328125 | 2735.5714111328125 | Cigna                  |                      1 |
| ICU (Intensive Care Unit) | 2024 | ?10?     |             1473 |                  0 |               1473 | Guardian Life          |                      1 |
| ICU (Intensive Care Unit) | 2024 | ?10?     |             1473 |  841.7142944335938 | 2314.7142944335938 | Oscar Health           |                      1 |
| ICU (Intensive Care Unit) | 2025 | ?10?     |             2946 |  1052.142822265625 |  3998.142822265625 | Guardian Life          |                      2 |
| Internal Medicine         | 2021 | ?10??    |             7118 |                  0 |               7118 | Highmark Health        |                      1 |
| Internal Medicine         | 2021 | ?10??    |             7118 |                  0 |               7118 | MetLife                |                      1 |
| Internal Medicine         | 2021 | ?10??    |            14236 |                  0 |              14236 | Priority Health        |                      2 |
| Internal Medicine         | 2021 | ?21?     |              231 |               1155 |               1386 | Beacon Health Options  |                      1 |
| Internal Medicine         | 2021 | ?21?     |              231 |               2772 |               3003 | Centene Corporation    |                      1 |
| Internal Medicine         | 2021 | ?21?     |              693 |               4158 |               4851 | Molina Healthcare      |                      3 |
| Internal Medicine         | 2021 | ?22?     |             1471 |                  0 |               1471 | Oscar Health           |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Centene Corporation    |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Guardian Life          |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Humana                 |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Kaiser Permanente      |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | MetLife                |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Molina Healthcare      |                      1 |
| Internal Medicine         | 2022 | ?10??    |             7118 |                  0 |               7118 | Oscar Health           |                      1 |
| Internal Medicine         | 2022 | ?20?     |              767 |             3451.5 |             4218.5 | Cigna                  |                      1 |
| Internal Medicine         | 2022 | ?20?     |              767 |               4602 |               5369 | Guardian Life          |                      1 |
| Internal Medicine         | 2022 | ?20?     |              767 |               2301 |               3068 | Magellan Health        |                      1 |
| Internal Medicine         | 2022 | ?20?     |              767 |               4602 |               5369 | MetLife                |                      1 |
| Internal Medicine         | 2022 | ?20?     |              767 |               4602 |               5369 | Oscar Health           |                      1 |
| Internal Medicine         | 2022 | ?21?     |              462 |               1848 |               2310 | Beacon Health Options  |                      2 |
| Internal Medicine         | 2022 | ?21?     |              231 |               2310 |               2541 | Centene Corporation    |                      1 |
| Internal Medicine         | 2022 | ?22?     |             1471 |                  0 |               1471 | Anthem                 |                      1 |
| Internal Medicine         | 2022 | ?22?     |             1471 | 1050.7142333984375 | 2521.7142333984375 | Health Net             |                      1 |
| Internal Medicine         | 2023 | ?10??    |             7118 |                  0 |               7118 | Anthem                 |                      1 |
| Internal Medicine         | 2023 | ?10??    |             7118 |                  0 |               7118 | Blue Cross Blue Shield |                      1 |
| Internal Medicine         | 2023 | ?10??    |             7118 |                  0 |               7118 | Centene Corporation    |                      1 |
| Internal Medicine         | 2023 | ?10??    |             7118 |                  0 |               7118 | Health Net             |                      1 |
| Internal Medicine         | 2023 | ?10??    |             7118 |                  0 |               7118 | MetLife                |                      1 |
| Internal Medicine         | 2023 | ?20?     |              767 |             1150.5 |             1917.5 | Molina Healthcare      |                      1 |
| Internal Medicine         | 2023 | ?20?     |              767 |             4218.5 |             4985.5 | Mutual of Omaha        |                      1 |
| Internal Medicine         | 2023 | ?20?     |              767 |               3068 |               3835 | Oscar Health           |                      1 |
| Internal Medicine         | 2023 | ?21?     |              231 |               2310 |               2541 | Aetna                  |                      1 |
| Internal Medicine         | 2023 | ?21?     |              231 |               1386 |               1617 | Centene Corporation    |                      1 |
| Internal Medicine         | 2023 | ?21?     |              462 |               1848 |               2310 | Guardian Life          |                      2 |
| Internal Medicine         | 2023 | ?21?     |              231 |                924 |               1155 | Kaiser Permanente      |                      1 |
| Internal Medicine         | 2023 | ?21?     |              231 |                  0 |                231 | UnitedHealth Group     |                      1 |
| Internal Medicine         | 2023 | ?22?     |             1471 |  840.5714111328125 | 2311.5714111328125 | Kaiser Permanente      |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | Kaiser Permanente      |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | MetLife                |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | Molina Healthcare      |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | Mutual of Omaha        |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | Priority Health        |                      1 |
| Internal Medicine         | 2024 | ?10??    |             7118 |                  0 |               7118 | UnitedHealth Group     |                      1 |
| Internal Medicine         | 2024 | ?20?     |              767 |              383.5 |             1150.5 | Ambetter               |                      1 |
| Internal Medicine         | 2024 | ?20?     |              767 |             2684.5 |             3451.5 | Centene Corporation    |                      1 |
| Internal Medicine         | 2024 | ?20?     |              767 |             3451.5 |             4218.5 | MetLife                |                      1 |
| Internal Medicine         | 2024 | ?20?     |              767 |               2301 |               3068 | Oscar Health           |                      1 |
| Internal Medicine         | 2024 | ?20?     |              767 |             2684.5 |             3451.5 | WellCare               |                      1 |
| Internal Medicine         | 2024 | ?21?     |              231 |                693 |                924 | MetLife                |                      1 |
| Internal Medicine         | 2024 | ?21?     |              231 |               2541 |               2772 | Molina Healthcare      |                      1 |
| Internal Medicine         | 2024 | ?22?     |             1471 |  1260.857177734375 |  2731.857177734375 | Cigna                  |                      1 |
| Internal Medicine         | 2024 | ?22?     |             1471 |  840.5714111328125 | 2311.5714111328125 | Molina Healthcare      |                      1 |
| Internal Medicine         | 2024 | ?22?     |             1471 |  630.4285888671875 | 2101.4285888671875 | Oscar Health           |                      1 |
| Internal Medicine         | 2024 | ?22?     |             1471 |  630.4285888671875 | 2101.4285888671875 | WellCare               |                      1 |
| Internal Medicine         | 2025 | ?10??    |             7118 |                  0 |               7118 | Guardian Life          |                      1 |
| Internal Medicine         | 2025 | ?20?     |              767 |               1534 |               2301 | Blue Cross Blue Shield |                      1 |
| Internal Medicine         | 2025 | ?21?     |              231 |                924 |               1155 | Ambetter               |                      1 |
| Internal Medicine         | 2025 | ?21?     |              231 |               1386 |               1617 | UnitedHealth Group     |                      1 |
| Internal Medicine         | 2025 | ?21?     |              231 |               2541 |               2772 | WellCare               |                      1 |
| Internal Medicine         | 2025 | ?22?     |             1471 | 420.28570556640625 | 1891.2857055664062 | Blue Cross Blue Shield |                      1 |
| Internal Medicine         | 2025 | ?22?     |             1471 |                  0 |               1471 | Centene Corporation    |                      1 |
| Internal Medicine         | 2025 | ?22?     |             1471 |  840.5714111328125 | 2311.5714111328125 | Cigna                  |                      1 |
| Internal Medicine         | 2025 | ?22?     |             2942 |                  0 |               2942 | Health Net             |                      2 |
| Internal Medicine         | 2026 | ?20?     |              767 |             1917.5 |             2684.5 | WellCare               |                      1 |
| Internal Medicine         | 2026 | ?21?     |              231 |               1386 |               1617 | Aetna                  |                      1 |
| Internal Medicine         | 2026 | ?21?     |              231 |                693 |                924 | Oscar Health           |                      1 |
| Internal Medicine         | 2026 | ?22?     |             1471 |                  0 |               1471 | Mutual of Omaha        |                      1 |
| Neurology                 | 2021 | ?21?     |             1494 |              373.5 |             1867.5 | Blue Cross Blue Shield |                      1 |
| Neurology                 | 2021 | ?21?     |             1494 |               1494 |               2988 | Centene Corporation    |                      1 |
| Neurology                 | 2021 | ?21?     |             1494 |                  0 |               1494 | Kaiser Permanente      |                      1 |
| Neurology                 | 2021 | ?21?     |             1494 |                  0 |               1494 | Molina Healthcare      |                      1 |
| Neurology                 | 2021 | ?21?     |             1885 |               1508 |               3393 | Cigna                  |                      1 |
| Neurology                 | 2021 | ?21?     |             1885 |                  0 |               1885 | MetLife                |                      1 |
| Neurology                 | 2021 | ?21?     |             1885 |                  0 |               1885 | Priority Health        |                      1 |
| Neurology                 | 2021 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Guardian Life          |                      1 |
| Neurology                 | 2021 | ?41?     |             1837 |  551.0999755859375 | 2388.0999755859375 | Molina Healthcare      |                      1 |
| Neurology                 | 2021 | ?41?     |             1837 |                  0 |               1837 | WellCare               |                      1 |
| Neurology                 | 2022 | ?21?     |             1494 |             1120.5 |             2614.5 | Health Net             |                      1 |
| Neurology                 | 2022 | ?21?     |             1885 |               2262 |               4147 | Aetna                  |                      1 |
| Neurology                 | 2022 | ?21?     |             3770 |               1885 |               5655 | Centene Corporation    |                      2 |
| Neurology                 | 2022 | ?21?     |             1885 |               1885 |               3770 | UnitedHealth Group     |                      1 |
| Neurology                 | 2022 | ?41?     |             1837 |  734.7999877929688 | 2571.7999877929688 | Aetna                  |                      1 |
| Neurology                 | 2022 | ?41?     |             1837 |  734.7999877929688 | 2571.7999877929688 | Health Net             |                      1 |
| Neurology                 | 2022 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Kaiser Permanente      |                      1 |
| Neurology                 | 2023 | ?21?     |             1494 |                  0 |               1494 | Aetna                  |                      1 |
| Neurology                 | 2023 | ?21?     |             1494 |                  0 |               1494 | Centene Corporation    |                      1 |
| Neurology                 | 2023 | ?21?     |             2988 |               2241 |               5229 | Health Net             |                      2 |
| Neurology                 | 2023 | ?21?     |             1885 |                  0 |               1885 | Ambetter               |                      1 |
| Neurology                 | 2023 | ?21?     |             1885 |               3393 |               5278 | Health Net             |                      1 |
| Neurology                 | 2023 | ?21?     |             1885 |                  0 |               1885 | Molina Healthcare      |                      1 |
| Neurology                 | 2023 | ?21?     |             1885 |               1508 |               3393 | Mutual of Omaha        |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |                  0 |               1837 | Aetna                  |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |                  0 |               1837 | Beacon Health Options  |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Centene Corporation    |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |                  0 |               1837 | Kaiser Permanente      |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |                  0 |               1837 | Mutual of Omaha        |                      1 |
| Neurology                 | 2023 | ?41?     |             1837 |                  0 |               1837 | UnitedHealth Group     |                      1 |
| Neurology                 | 2024 | ?21?     |             1494 |             1120.5 |             2614.5 | Aetna                  |                      1 |
| Neurology                 | 2024 | ?21?     |             1494 |               2241 |               3735 | Kaiser Permanente      |                      1 |
